,Title,Age,description,websiteRef,Minor,LangPattern,Trafficked
13,i m divya independent call girl 22,22,       i m independent call girl divya   i m staying in bangalore in call out call doorstep delivery body massage all type service available       ,0,0,0,0
14,hi guys myself sneha kannada independent college girl,21,       sneha     hand cash online payments for the girls no  required      services in bengalore  women seeking men in bengalore  it s independent girls service call girl in mysore home service and hotel services available    kannada girls  models  college babes   south   north girls aunties available       ,0,1,0,0
15,call girl bangalore call me neha  2000 2 shots vip call girl sex,25,       please contact me on telegram for real sex   https   t me madhavihere  cleck here   only telegram message this link   https   t me    cleck here   https   t me madhavihere  cleck here   independent girl s call girls in woman seeking men   i am staying really independent in my home      i will really give u good enjoyment and excellent service on my bed    i am basically from south girl so some problems that s why this way trust me    i will give good cooperation and full enjoyment have full relaxation in my house    no brokers real meeting involved directly call  booking open now   https   t me madhavihere   please contact me on telegram for real sex   https   t me madhavihere  cleck here   only telegram message this link   https   t me    cleck here   https   t me madhavihere  cleck here   independent girl s call girls in woman seeking men   i am staying really independent in my home      i will really give u good enjoyment and excellent service on my bed    i am basically from south girl so some problems that s why this way trust me    i will give good cooperation and full enjoyment have full relaxation in my house    no brokers real meeting involved directly call  booking open now   https   t me madhavihere   please contact me on telegram for real sex   https   t me madhavihere  cleck here   only telegram message this link   https   t me    cleck here   https   t me madhavihere  cleck here   independent girl s call girls in woman seeking men   i am staying really independent in my home      i will really give u good enjoyment and excellent service on my bed    i am basically from south girl so some problems that s why this way trust me    i will give good cooperation and full enjoyment have full relaxation in my house    no brokers real meeting involved directly call  booking open now    please contact me on telegram for real sex   https   t me madhavihere  cleck here   only telegram message this link   https   t me    cleck here   https   t me madhavihere  cleck here   independent girl s call girls in woman seeking men   i am staying really independent in my home      i will really give u good enjoyment and excellent service on my bed    i am basically from south girl so some problems that s why this way trust me    i will give good cooperation and full enjoyment have full relaxation in my house    no brokers real meeting involved directly call  booking open now   https   t me madhavihere   please contact me on telegram for real sex   https   t me madhavihere  cleck here   only telegram message this link   https   t me    cleck here   https   t me madhavihere  cleck here   independent girl s call girls in woman seeking men   i am staying really independent in my home      i will really give u good enjoyment and excellent service on my bed    i am basically from south girl so some problems that s why this way trust me    i will give good cooperation and full enjoyment have full relaxation in my house    no brokers real meeting involved directly call  booking open now   https   t me madhavihere ,1,0,1,0
16,i am smitha independent girl call me,23,       hey i am staying independent in banglore city call or wts up   i am geniune girl to provide romantic service to geniune customers     assured i am independent girl   complete service i ll provide   call me for more info       ,0,0,0,0
17,annu 1500 shot night 6000  doorstep call girls bgl,21,       welcome to  https   wa me    telegram https   t me    we provide high class educated independent girls   models   housewife   air hostesses   college girls   call center girls   who are not only good looking but also very mannered        genuine service    only genuine customer invited   time passer stay away   customer safety and security is our first priority    charges are including rooms      same girl available otherwise full payment refund    full service       service available      kissing   french kiss also    liplock    smooch    blowjob   without condom    oral service    anal service  sucking    fucking   all girls vaccinated       age       ,1,1,1,1
18,1500 shot night 6000  independent doorstep call girls bangalore,20,       welcome to  https   wa me    telegram https   t me     we provide high class educated independent girls   models   housewife   air hostesses   college girls   call center girls   who are not only good looking but also very mannered         genuine service     only genuine customer invited   time passer stay away   customer safety and security is our first priority     charges are including rooms      same girl available otherwise full payment refund     full service        service available       kissing   french kiss also     liplock     smooch     blowjob   without condom     oral service     anal service   sucking     fucking   all girls vaccinated             ,1,1,1,1
20,hi guys i am navya independent call girl,21,       hi am navya staying alone  call me or what s app   good service available    no broker  direct meet  hand cash only  safe and secure    customer full fill enjoyment   satisfaction       what s app r call me           ,0,1,0,0
21,meet me direct i am anjali anju kannada girl in call me,23,       am independent girl anjali staying alone in banglore call or wts up   on   no broker direct meet up hand to hand cash trustable genuine service i will provide u   i have secure home to provide geniune service   i dont ask u any advance direct meet direct pay call me or wts up anjali anju    complete service i will provide   genuine service no broker with me   women seeking men banglore   i ll full fill u sex desires for sure       ,0,0,0,1
23,i am roopa kannada independence call girl in bangalore 21,19,       i am roopa kannada independent call girl in bangalore     only out call service  no advance direct to cash payment call me or whatsapp me           only outcal service available   home delivery  advance hotel no advance delivery  oyo room delivery available   only one hour i will be reach in your location only genian customer contact me   kissing romance boobs pressing blowjod handjob all type service available especially without condom blowjod i will do   genuine   trustable  secure   call me or whatsapp me    https   wa me   ,1,1,0,0
24,i m vidya  hand cash  call girl,21,       hi am vidya ya staying alone  call me or what s app   good service available    no broker  direct meet  hand cash only  safe and secure    customer full fill enjoyment   satisfaction      what s app r call me          ,0,1,0,0
25,call girl in bangalore 24 7 best price vip service majestic in,22,       welcom to   https   wa me    https   wa me   low budget vip escorts in bangalore  we provide high class educated independent girls   models  housewife  air hostesses  college girls  call center girls  who are not only good looking but also very mannered  independent vip girls    genuine service    only genuine customer invited  time passer stay away  customer safety and security is our first priority   charges are including rooms    same girl available otherwise full payment refund   full service      service available      kissing  french kiss also   liplock   smooch   blowjob  without condom   oral service   anal service   sucking   fucking   all girls vaccinated      only genuine person contact me       thx        ,1,0,1,0
26,vip out call college call girl 24 7 available no  agent  ,22,       am radhika here  genuine  trustble  satisfaction   https   wa me    hand to hand cash  call girl service available in x only genuine customer contact mei am independent call girl living alone looking honest and genuine guys for fun and enjoyment  i am available for both incall and outcall services at low charges  so  without any hesitation pick your cell phone and book me for shot and night services  i am really very active in bed  i like work hard at it and above all leave my lovers very satisfied  i ll offer you the most pleasurable adventure  once i am done with you  you will be feeling very relaxed  content and feeling like a new man  i m the perfect girl for fine  demanding men  those who want to leave all worries behind and enjoy mindlessly for a night  i can fascinate you and help you enjoy pure pleasure  let me accomodate you and get you fired up for a night of passion  i ll treat you to a delicious massage  leading up to mindblowing cock sucking and an erotic session like no other  i ll drive you wild with lust  you ll impressed at how hard i can make you  and my movements will hypnotize and invite you in even more   call or whatsapp radhika you can get my sexy and hot photographs on whatsapp before hire me  you can hire me for shot time sex or overnight services  i am experienced horny escort girl available for both incall and outcall locations  so  don t waste your time dial above number  https   wa me   hand to hand cash       ,1,0,1,1
28,call me divya i am alone for sex unlimited shot sex you can do,25,       please contact me on telegram for real sex   https   t me madhavihere  cleck here   only telegram message this link   https   t me    cleck here   https   t me madhavihere  cleck here   independent girl s call girls in woman seeking men   i am staying really independent in my home      i will really give u good enjoyment and excellent service on my bed    i am basically from south girl so some problems that s why this way trust me    i will give good cooperation and full enjoyment have full relaxation in my house    no brokers real meeting involved directly call  booking open now   https   t me madhavihere   please contact me on telegram for real sex   https   t me madhavihere  cleck here   only telegram message this link   https   t me    cleck here   https   t me madhavihere  cleck here   independent girl s call girls in woman seeking men   i am staying really independent in my home      i will really give u good enjoyment and excellent service on my bed    i am basically from south girl so some problems that s why this way trust me    i will give good cooperation and full enjoyment have full relaxation in my house    no brokers real meeting involved directly call  booking open now   https   t me madhavihere   please contact me on telegram for real sex   https   t me madhavihere  cleck here   only telegram message this link   https   t me    cleck here   https   t me madhavihere  cleck here   independent girl s call girls in woman seeking men   i am staying really independent in my home      i will really give u good enjoyment and excellent service on my bed    i am basically from south girl so some problems that s why this way trust me    i will give good cooperation and full enjoyment have full relaxation in my house    no brokers real meeting involved directly call  booking open now    please contact me on telegram for real sex   https   t me madhavihere  cleck here   only telegram message this link   https   t me    cleck here   https   t me madhavihere  cleck here   independent girl s call girls in woman seeking men   i am staying really independent in my home      i will really give u good enjoyment and excellent service on my bed    i am basically from south girl so some problems that s why this way trust me    i will give good cooperation and full enjoyment have full relaxation in my house    no brokers real meeting involved directly call  booking open now   https   t me madhavihere   please contact me on telegram for real sex   https   t me madhavihere  cleck here   only telegram message this link   https   t me    cleck here   https   t me madhavihere  cleck here   independent girl s call girls in woman seeking men   i am staying really independent in my home      i will really give u good enjoyment and excellent service on my bed    i am basically from south girl so some problems that s why this way trust me    i will give good cooperation and full enjoyment have full relaxation in my house    no brokers real meeting involved directly call  booking open now   https   t me madhavihere ,1,0,0,1
29,myself navya  nobroker  independent call girls staying alone,22,        genuine   trustable  satisfied  hi myself navya  kannada  https   wa me    i m independent call girl in alone    i ll really give u good enjoyment and excellent service on my bed     i m basically from south girl   i can speak kannada and english   i m in some financial problems that s why this way    but i ll give  good service if u take service once next time u will be regular    no broker no agent i m the girl   don t time pass only genuine customers contact me     https   wa me     women seeking men ,1,0,1,1
31,call ammu 1500 shot 5000 night call girl available for sex ,21,        call whatsapp https   wa me   https   t me    best call girls escort service in out call low rates call to   call whatsapp we have a lot of horey call girl in our theme  who can give massive sexual  pleasure to their cllent  s our high profiles escort are not only for sexual pleasure they also give a girl friend like experience  these experienced it s all your choices to select the girls as per your desire and we make sure you will enjoy every moment with lots of fun and excitement   escort girls are form various cities of india and foreigner girls also available for your hungry needs  we offer both incall and out call services available x we guarantee full satisfaction low rate fell the heavenly touch with all positions  want to suck your body  our escort profile   college girls   house wife  high profile girls  ramp model  foreigners girls  our escort service  hj hand job  bj blowjob   cbj covered blow job     oral     sex with condom   fk frerich kissing   kissing with tongue o level    oral sex     long silky brown hair    massage   sex   a level   star escort     covered  covered blowjob    dating  the escort agencies always try their best to keep their clients happy to do that they do every possible thing they can  they make sure that their girl pretty also they should have an appeal like figure  girls with average looks have no place here  they must be smart and talented the women must also be very flexible so that they can satisfied        ,1,1,0,1
34,call girl in   bangalore   24x7 sex girl available 22   23,22,        call me   hour available   join mi on whatsapp here ravina  https   wa me   https   wa me   https   wa me   call me whatsapp safe  secure high class sarvice affordable rate   satafication unlimited enjoy ment time for model   teen escort agency    call use high class luxry and premium escort agency we provide will educated royal class female high class escort agency offering eight of high class escort service in the sarvel nearby all place      get high profile queen well educated good looking full cooperative model sarvice you can see me compatible hotels i can visit your sarvice available hotel in all    to enjoy with hot and sexy girl    we are providing model mallu girls auntys malyali college girls russian model foreigner model college girl house waif ramp models foreigner and any many more       incall out call girls available      independen provide girl and house waif a level  five star escort service    strip tease   bbbj  barebacke blow job       bj  blow job without condom a condom       special message      oral sex with non condom      come on body whatsapp  https   wa me    please no time west genuine people massage for       ,1,0,0,1
35,dirct pay incall or out independent house sefe place rooms avail,38,       im bhomi  call girls escort sarvice independent girls  jenuion sarvice incall dirct see pement  tamil girls kannda girls available       ,0,0,0,1
37,girl s in bangalore 24 7 best price vip genuine service majestic,22,       welcom to join link   https   wa me    https   wa me   hottest girl n aunty with low cost in bangalore  we provide high class educated independent girls   models  housewife  air hostesses  college girls  call center girls  who are not only good looking but also very mannered  independent vip girls    genuine service    only genuine customer invited  time passer stay away  customer safety and security is our first priority   charges are including rooms    same girl available otherwise full payment refund   full service      service available      kissing  french kiss also   liplock   smooch   blowjob  without condom   oral service   anal service   sucking   fucking   all girls vaccinated      only genuine person contact me       thx        ,1,0,1,1
38,kavya   home   services indipendent call girl,21,       kavya   hand cash online payments for the girls no  required      services in bengalore  women seeking men in bengalore  it s independent girls service call girl in mysore home service and hotel services available    kannada girls  models  college babes   south   north girls aunties available       ,0,1,0,1
39,idu nijvawda cheap   best video call service,22,       hiiii guys i m genuine independent nude video call girl will do provide nude video calling with dirty talk in kannada language    hrs service available  i m college girl so doing this job i hv done pervious as a honestly who verified by locento  all online service i will give who wants us   me   my frnd stay here  so if want us then we will do also lesbian video call       it s only genuine service so i hope that s only genuine customer chat with me      what sp links     https   wa link vjdln ,1,0,0,1
40,hi guys i am navya independent call girl,23,       hi am navya staying alone  call me or what s app   good service available    no broker  direct meet  hand cash only  safe and secure    customer full fill enjoyment   satisfaction       what s app r call me         ,0,0,0,1
41,hi guys myself ramya kannada independent college girl,21,       ramya    hand cash online payments for the girls no  required      services in bengalore  women seeking men in bengalore  it s independent girls service call girl in mysore home service and hotel services available    kannada girls  models  college babes   south   north girls aunties available       ,0,1,0,1
42,jyothi no advance direct hand cash call girls and aunties availa,23,       no broker no advance direct hand cash  hi call me jyothi   and whatsapp me  i have a all types of girls and aunties  house wife available  south indian north indian girls and aunties available short time  full time service available in call out call full banglore service available  no any extra charge no tips       ,0,0,1,1
43,radha low price call girls independent direct kannada telugu 19,22,       radha low price direct callgirl no broker incall and outcall bangalore  call me or text me for independent girls aunty s south north available in my place or hotel or yours place we provide independent callgirls out call and in call trust me   genuine service available cute girls   independentcallgirls callgirls house wifes kannada girls in bangalore telugu girls kerala girls tamil girls call girls bangalore bengaluru kannada callgirls telugu callgirls tamail callgirls women seeking men independent girls escort out side trip girls available       ,0,0,1,1
44,call in marathahalli majestic best vip independent girls service,21,       welcome to join link  https   wa me   text hy  https   wa me   text hy best offer vip hottest girl n aunty with best price in bangalore we provide high class educated independent girls   models  housewife  air hostesses  college girls  call center girls  who are not only good looking but also very mannered  independent vip girls   genuine service   only genuine customer invited  time passer stay away  customer safety and security is our first priority   charges are including rooms    same girl available otherwise full payment refund   avalible full service       kissing  french kiss also   liplock   smooch   blowjob  without condom   oral service   anal service   sucking   fucking   all girls vaccinated      only genuine person contact me      thx        ,1,1,1,1
45,shilpa independent kannada call girl,22,       kavya   hand cash online payments for the girls no  required      services in bengalore  women seeking men in bengalore  it s independent girls service call girl in mysore home service and hotel services available    kannada girls  models  college babes   south   north girls aunties available       ,0,0,0,1
47,kavya home services indipendent call girl in mysore,21,       kavya   hand cash online payments for the girls no  required      services in bengalore  women seeking men in bengalore   it s independent girls service call girl in mysore home service and hotel services available    kannada girls  models  college babes   south   north girls aunties available       ,0,1,0,1
48,call girl in bangalore vip girls available for sex,25,       directly telegram  message me directly  because telegram is more secure then whatsapp   https   t me anjalicallgirss   only telegram message   https   t me anjalicallgirss  independent girl s call girls in woman seeking men i am staying really independent in my home   i will really give u good enjoyment and excellent service on my bed  i am basically from south girl so some problems that s why this way trust me i will give good cooperation and full enjoyment have full relaxation in my house no brokers involved directly   fully safe secure and genuine service guarantee   for book me message me on telegram only  only telegram message   https   t me anjalicallgirss  directly telegram  message me directly  because telegram is more secure then whatsapp   https   t me anjalicallgirss   only telegram message   https   t me anjalicallgirss  independent girl s call girls in woman seeking men i am staying really independent in my home   i will really give u good enjoyment and excellent service on my bed  i am basically from south girl so some problems that s why this way trust me i will give good cooperation and full enjoyment have full relaxation in my house no brokers involved directly   fully safe secure and genuine service guarantee   for book me message me on telegram only  only telegram message   https   t me anjalicallgirss ,1,0,1,1
50,luxury vip service call girl incall kolkata girls,22, https   wa me   https   t me payalsharma  call me  call whatsapp best call girl escorts service in out call low rate call to  we  we have a lot of horny call girl in in our team  who can give massive sexual pleasure to their client s  our high profile escort are not only for sexual pleasure they also give a girl friend like experience  these experienced escort girls are from various cities of india and foreigner girls also available for your hungry needs  it s all your choice to select the girl as per your desire and we make sure you will enjoy every moment with lots of fun and excitement  women seeking men we offer both incall and outcall service available x  we guaranty full satisfaction low rate fell the heavenly touch with all india position     wait to suck your body indore escort our escort profiles  college girls  housewives  high profile girls  ramp models  foreigner girls our escort services  hj  hand job   bj  blowjob   cbj  covered blow job   oral  sex with a condom  fk  french kissing   kissing with tongue  o level  oral sex   long silky brown hair  massage     sex   a level   start escort   covered  covered blowjob   dating women seeking men the escort agencies always try their best to keep their clients happy  to do that they do every possible thing they can  they make sure that their girls are pretty  also  they should have an appealing figure  girls with average looks have no place here  they must be smart and talented  the women must also be very flexible so that they can   whatsapp me click here  https   wa me   telegram  message this link click here https   t me payalsharma ,1,0,1,1
51,hi guys myself neha kannada independent college girl,22,       ramya    hand cash online payments for the girls no  required      services in bengalore  women seeking men in bengalore  it s independent girls service call girl in mysore home service and hotel services available    kannada girls  models  college babes   south   north girls aunties available       ,0,0,0,1
52,call girls in whitefield hot sexy independent girl service avail,21,       professional escort services  https   wa me    call girls     rating all over area x available  contact us   whatapp call  https   wa me    we have all types service like russian  south indian  punjabi  marathi  gujarati etc  who presenting a high class satisfaction feeling when you make relationship with her  all the girls are professionally trained and related to high society who charge very highly invidually but after connecting us  we are provided babies at lowest price rates to our customer anytime because they are working here a part time and i ll pay  her salary per customer   we provide best female escort service and  taking service from us since last  years regularly  give us a chance to serve  you will never search number on internet again  as you will be our regular prestigious customer   all type service available   anal sex      kissing  french kiss also       liplock     smooch      blowjob      coverd blowjob      sucking      fucking      with condom   without condom      oral sex     massages  call me       ,1,1,1,1
53,telugu independent girl no broker direct payment out call only,23,       hii i am  akhila  telugu independent girl no broker home and hotel delivery only  i am  years telugu girl  please feel free to call now  i will give you full time satisfaction on bed without any disturbance and restrictions  no broker s no agent s    i am women seeking men will offer you unlimited shots and  satisfaction now      nude video call available  no demo   call me akhila        ,0,0,0,0
54,call girl in yelahanka high profile independent girls service sa,22, https   wa me  text hy   call me      call whatsapp best call girl escorts service in out call low rate call to          we have a lot of horny call girl in in our team  who can give massive sexual pleasure to their client s  our high profile escort are not only for sexual pleasure they also give a girl friend like experience  these experienced escort girls are from various cities of india and foreigner girls also available for your hungry needs  it s all your choice to select the girl as per your desire and we make sure you will enjoy every moment with lots of fun and excitement  we offer both incall and outcall service available x  we guaranty full satisfaction low rate fell the heavenly touch with all position     wait to suck your body our escort profiles  college girls  housewives  high profile girls  ramp models  foreigner girls our escort services  hj  hand job   bj  blowjob   cbj  covered blow job   oral  sex with a condom  fk  french kissing   kissing with tongue  o level  oral sex   long silky brown hair  massage     sex   a level   start escort   covered  covered blowjob   dating the escort agencies always try their best to keep their clients happy  to do that they do every possible thing they can  they make sure that their girls are pretty  also  they should have an appealing figure  girls with average looks have no place here  they must be smart and talented  the women must also be very flexible so that they can satisfaid best call girl escort       whatsapp       ,1,0,1,0
55,i m nikil short time 6000 dorstp hend to hend cash   21,21,       i m nikil  genuine independent call garl sarvices available no advance needed direct hand cash only no borkers direct meet only it s hotal home delivery onlyservices genuine escort service available all rwond sarvis available it s sefe and paid use relationship seme personal issues time people allowed only genuine persons olso no problem here sefe door sotp available anytime available short time  full nit  hend to hend cash call me r whatsapp        ,0,1,0,0
57, hi my self radhik k  independent call girl call me 21     23,23,       my  self   radhik  k                              call   me  or     text  me   in   whatsapp   for  independent  girl   service    available  in   my   place  or   hotel    delivery     available   we   provide   independent out   call  or   in  call   genuine   service      genuine    services  i  want   only   genuine   customers    contact  me   radhik   k    call  me          text   me  in    whatsapp    for  independent   girl   service   available   in   my   place  or  hotel    delivery     available   we  provide   independent out  call or  in  call    genuine    service      genuine   services  i   want   only   genuine   customers    contact   me   radhik k              ,0,0,0,0
58,call girl in bangalore 1500 shot night 6000 unlimited hard sex,22,       hello gentlemen call and whatsapp   https   wa me      telegram https   t me    in call and out call facility     hotel and home service also available    women seeking men  affordable rate  satisfaction  note     all our girls are medically tested periodically just to ensure safe and secure relationship with     open sex services  we are provide also doorstep service hot busty housewife sexy slim fit figure girls also curvy body  age new join models party girls available or age upto  years olds indian russian girls low to high range safe service with room for complete enjoyment now you don t have to go to bangkok for having fun     we will provide you with sexy models who will dance   drink with you and also provide you sexual body to body massage with sex  you may take them out for a party or also for any private parties  these girls are interested in having some fun with you and will ensure that you have complete fun     breaking news  all new girls have arrived from all the states india of especially for you    young girls  models  aunties  celebrities  russian   we provide high classes educated independent girls  models  housewife  air hostesses  college girls  call center girls  who are not only good looking but also very mannered      escorts services are committed to do their work and your satisfaction is their prime motive  they are ready and comfortable to go with you anywhere  they are decent and charming  well educated and very beautiful  you can take them to parties  cinema  mall etc  they understand their client s need and are willing to go beyond just social meeting  you can play with them and have decent fun  and after that whatever happens is choice of two adults    these are open minded and friendly lady       ,1,0,0,0
59,call girl in whitefield top model independent girls service safe,23, https   wa me  text hy   call me      call whatsapp best call girl escorts service in out call low rate call to          we have a lot of horny call girl in in our team  who can give massive sexual pleasure to their client s  our high profile escort are not only for sexual pleasure they also give a girl friend like experience  these experienced escort girls are from various cities of india and foreigner girls also available for your hungry needs  it s all your choice to select the girl as per your desire and we make sure you will enjoy every moment with lots of fun and excitement  we offer both incall and outcall service available x  we guaranty full satisfaction low rate fell the heavenly touch with all position     wait to suck your body our escort profiles  college girls  housewives  high profile girls  ramp models  foreigner girls our escort services  hj  hand job   bj  blowjob   cbj  covered blow job   oral  sex with a condom  fk  french kissing   kissing with tongue  o level  oral sex   long silky brown hair  massage     sex   a level   start escort   covered  covered blowjob   dating the escort agencies always try their best to keep their clients happy  to do that they do every possible thing they can  they make sure that their girls are pretty  also  they should have an appealing figure  girls with average looks have no place here  they must be smart and talented  the women must also be very flexible so that they can satisfaid best call girl escort       whatsapp       ,1,0,1,0
